

gen best mean std sigma_prime mutation_r crossover_r
0 91.282547 7.207884 27.414651 0.05 0.1 0.8
0 91.969562 73.603662 29.141558 0.049606 0.1 0.8
1 91.969562 73.603662 29.141558 0.08386 0.12 0.83
2 92.658358 62.267029 37.739591 0.090042 0.1 0.8
3 92.690612 80.853861 25.383997 0.081465 0.1 0.8
4 92.690612 80.853861 25.383997 0.11212 0.12 0.83
5 93.202788 85.111204 15.038752 0.119787 0.1 0.8
6 93.202788 85.111204 15.038752 0.143635 0.12 0.83
7 93.202788 85.111204 15.038752 0.177186 0.14 0.86
8 93.202788 85.111204 15.038752 0.205506 0.16 0.89
9 93.202788 85.111204 15.038752 0.236234 0.18 0.92
10 93.33194 84.575125 20.51973 0.224135 0.1 0.8
11 93.33194 84.575125 20.51973 0.250753 0.12 0.83
12 93.33194 84.575125 20.51973 0.274057 0.14 0.86
13 93.33194 84.575125 20.51973 0.325304 0.16 0.89
14 93.33194 84.575125 20.51973 0.353311 0.18 0.92
15 93.33194 84.575125 20.51973 0.393355 0.2 0.95
16 93.33194 84.575125 20.51973 0.45952 0.22 0.98
17 93.33194 84.575125 20.51973 0.478547 0.24 1.01
18 93.33194 84.575125 20.51973 0.522615 0.26 1.04
19 93.33194 84.575125 20.51973 0.523898 0.28 1.07
20 93.33194 84.575125 20.51973 0.547353 0.31 1.12
21 93.33194 84.575125 20.51973 0.63923 0.34 1.17
22 93.33194 84.575125 20.51973 0.644447 0.37 1.22
23 93.409567 77.647731 31.246357 0.655219 0.1 0.8
24 93.409567 77.647731 31.246357 0.691447 0.12 0.83
25 93.409567 77.647731 31.246357 0.81748 0.14 0.86
26 93.409567 77.647731 31.246357 0.796807 0.16 0.89
27 93.409567 77.647731 31.246357 0.846188 0.18 0.92
28 93.409567 77.647731 31.246357 0.948614 0.2 0.95
29 93.409567 77.647731 31.246357 0.973717 0.22 0.98
30 93.409567 77.647731 31.246357 0.933464 0.24 1.01
31 93.409567 77.647731 31.246357 1.133012 0.26 1.04
32 93.409567 77.647731 31.246357 1.178991 0.28 1.07
33 93.409567 77.647731 31.246357 1.307026 0.31 1.12
34 93.409567 77.647731 31.246357 1.409515 0.34 1.17
35 93.409567 77.647731 31.246357 1.467846 0.37 1.22
36 93.409567 77.647731 31.246357 1.440466 0.4 1.27
37 93.409567 77.647731 31.246357 1.517175 0.43 1.32
38 93.409567 77.647731 31.246357 1.521241 0.46 1.37
39 93.409567 77.647731 31.246357 1.636001 0.49 1.42
40 93.409567 77.647731 31.246357 1.764498 0.52 1.47
41 93.409567 77.647731 31.246357 1.897297 0.55 1.52
42 93.409567 77.647731 31.246357 2.055095 0.58 1.57
43 93.409567 77.647731 31.246357 0.05 0.1 0.8
44 93.409567 77.647731 31.246357 0.077191 0.12 0.83
45 93.409567 77.647731 31.246357 0.112478 0.14 0.86
46 93.409567 77.647731 31.246357 0.143167 0.16 0.89
47 93.409567 77.647731 31.246357 0.184127 0.18 0.92
48 93.409567 77.647731 31.246357 0.227028 0.2 0.95
49 93.409567 77.647731 31.246357 0.262422 0.22 0.98
50 93.409567 77.647731 31.246357 0.313041 0.24 1.01
51 93.409567 77.647731 31.246357 0.378587 0.26 1.04
52 93.409567 77.647731 31.246357 0.422404 0.28 1.07
53 93.409567 77.647731 31.246357 0.488666 0.31 1.12
54 93.409567 77.647731 31.246357 0.550865 0.34 1.17
55 93.409567 77.647731 31.246357 0.677507 0.37 1.22
56 93.409567 77.647731 31.246357 0.800824 0.4 1.27
57 93.409567 77.647731 31.246357 0.818023 0.43 1.32
58 93.409567 77.647731 31.246357 0.827807 0.46 1.37
59 93.409567 77.647731 31.246357 0.882403 0.49 1.42
60 93.409567 77.647731 31.246357 0.954071 0.52 1.47
61 93.409567 77.647731 31.246357 1.027726 0.55 1.52
62 93.409567 77.647731 31.246357 1.117802 0.58 1.57
63 93.409567 77.647731 31.246357 0.05 0.1 0.8
64 93.409567 77.647731 31.246357 0.074474 0.12 0.83
65 93.409567 77.647731 31.246357 0.101181 0.14 0.86
66 93.409567 77.647731 31.246357 0.136244 0.16 0.89
67 93.409567 77.647731 31.246357 0.170828 0.18 0.92
68 93.409567 77.647731 31.246357 0.180542 0.2 0.95
69 93.409567 77.647731 31.246357 0.210486 0.22 0.98
70 93.409567 77.647731 31.246357 0.248269 0.24 1.01
71 93.409567 77.647731 31.246357 0.277421 0.26 1.04
72 93.409567 77.647731 31.246357 0.349364 0.28 1.07
73 93.409567 77.647731 31.246357 0.421778 0.31 1.12
74 93.409567 77.647731 31.246357 0.446154 0.34 1.17
75 93.409567 77.647731 31.246357 0.508282 0.37 1.22
76 93.409567 77.647731 31.246357 0.577571 0.4 1.27
77 93.409567 77.647731 31.246357 0.612656 0.43 1.32
78 93.409567 77.647731 31.246357 0.659283 0.46 1.37
79 93.409567 77.647731 31.246357 0.738482 0.49 1.42
80 93.409567 77.647731 31.246357 0.79819 0.52 1.47
81 93.409567 77.647731 31.246357 0.849741 0.55 1.52
82 93.409567 77.647731 31.246357 0.951819 0.58 1.57
83 93.409567 77.647731 31.246357 0.05 0.1 0.8
84 93.409567 77.647731 31.246357 0.08018 0.12 0.83
85 93.409567 77.647731 31.246357 0.108359 0.14 0.86
86 93.409567 77.647731 31.246357 0.140423 0.16 0.89
87 93.409567 77.647731 31.246357 0.172568 0.18 0.92
88 93.409567 77.647731 31.246357 0.200411 0.2 0.95
89 93.409567 77.647731 31.246357 0.229761 0.22 0.98
90 93.409567 77.647731 31.246357 0.263989 0.24 1.01
91 93.409567 77.647731 31.246357 0.264853 0.26 1.04
92 93.409567 77.647731 31.246357 0.289663 0.28 1.07
