

gen best mean std sigma_prime mutation_r crossover_r
0 91.667281 13.015402 33.01272 0.05 0.1 0.5
0 93.002788 86.222843 14.692774 0.047491 0.1 0.5
1 93.207043 85.308028 18.423189 0.049936 0.1 0.5
2 93.207043 86.212692 18.657978 0.057097 0.1 0.5
3 93.207043 89.332449 12.815682 0.058507 0.1 0.5
4 92.596054 87.559411 13.546672 0.055989 0.1 0.5
5 91.890612 87.371603 15.161742 0.059023 0.1 0.5
6 92.33194 87.219714 12.904436 0.062159 0.1 0.5
7 92.372379 89.054845 11.655832 0.060633 0.1 0.5
8 92.690612 89.838942 10.23976 0.060558 0.1 0.5
9 92.690612 89.209285 11.063113 0.062023 0.1 0.5
10 93.17505 87.753721 12.571771 0.061992 0.1 0.5
11 92.629516 90.203937 8.749365 0.064241 0.1 0.5
12 92.818216 86.686198 16.850092 0.060184 0.1 0.5
13 92.690612 88.268979 11.341013 0.065644 0.1 0.5
14 92.690612 89.734528 11.654059 0.064846 0.1 0.5
15 92.690612 88.718462 12.998105 0.064399 0.1 0.5
16 92.690612 89.377747 9.053533 0.065639 0.1 0.5
17 92.690612 90.720632 6.306074 0.065132 0.1 0.5
18 93.33194 89.69429 9.158715 0.063418 0.1 0.5
19 92.640945 87.996862 10.728345 0.065295 0.1 0.5

gen best mean std sigma_prime mutation_r crossover_r
0 91.490612 12.542895 30.900707 0.05 0.1 0.5
0 91.490612 82.328549 19.617496 0.047759 0.1 0.5
1 91.490612 82.046011 22.236472 0.049934 0.1 0.5
2 92.290612 84.196169 22.247232 0.047955 0.1 0.5
3 92.290612 85.717516 17.264744 0.044584 0.1 0.5
4 91.972379 88.14636 16.068251 0.041229 0.1 0.5
5 92.001503 84.787491 20.238011 0.040763 0.1 0.5
6 92.807043 88.327165 11.008198 0.041261 0.1 0.5
7 92.73194 89.860647 8.500876 0.039368 0.1 0.5
8 92.64704 86.437706 18.213556 0.038021 0.1 0.5
9 92.690612 84.672009 17.860384 0.042513 0.1 0.5
10 92.690612 87.51075 14.183551 0.043343 0.1 0.5
11 92.64704 89.904339 7.820658 0.040554 0.1 0.5
12 92.93194 90.706374 6.181713 0.037942 0.1 0.5
13 92.93194 88.470325 14.327968 0.037054 0.1 0.5
14 92.690612 89.701673 13.39944 0.037269 0.1 0.5
15 92.001503 87.176755 12.722078 0.036704 0.1 0.5
16 92.690612 87.316864 16.796097 0.037233 0.1 0.5
17 92.690612 89.06999 13.376564 0.038604 0.1 0.5
18 92.64704 88.708721 13.061556 0.039201 0.1 0.5
19 92.290612 89.069711 11.495462 0.040092 0.1 0.5
