

gen best mean std sigma_prime mutation_r crossover_r
0 87.139358 1.419217 18.997223 0.05 0.1 0.8
0 87.259358 55.454851 38.812084 0.049184 0.1 0.8
1 87.417882 68.181172 32.990195 0.045404 0.1 0.8
2 89.378539 66.146879 34.147918 0.038879 0.1 0.8
3 89.463229 67.053728 32.99788 0.04048 0.1 0.8
4 89.463229 67.053728 32.99788 0.072281 0.12 0.83
5 90.445189 77.931994 25.831848 0.072172 0.1 0.8
6 90.445189 77.931994 25.831848 0.098507 0.12 0.83
7 90.445189 77.931994 25.831848 0.118809 0.14 0.86
8 90.445189 77.931994 25.831848 0.150894 0.16 0.89
9 90.957582 84.713217 17.484054 0.147069 0.1 0.8
10 90.957582 84.713217 17.484054 0.18761 0.12 0.83
11 90.957582 84.713217 17.484054 0.20388 0.14 0.86
12 90.957582 84.713217 17.484054 0.211264 0.16 0.89
13 90.957582 84.713217 17.484054 0.242914 0.18 0.92
14 90.957582 84.713217 17.484054 0.296289 0.2 0.95
15 90.957582 84.713217 17.484054 0.343758 0.22 0.98
16 90.957582 84.713217 17.484054 0.341601 0.24 1.01
17 90.957582 84.713217 17.484054 0.363392 0.26 1.04
18 90.957582 84.713217 17.484054 0.417956 0.28 1.07
19 90.957582 84.713217 17.484054 0.468103 0.31 1.12
20 90.957582 84.713217 17.484054 0.510466 0.34 1.17
21 91.056218 79.224649 26.7097 0.490338 0.1 0.8
22 91.056218 79.224649 26.7097 0.55017 0.12 0.83
23 91.056218 79.224649 26.7097 0.582957 0.14 0.86
24 91.056218 79.224649 26.7097 0.628013 0.16 0.89
25 91.056218 79.224649 26.7097 0.678974 0.18 0.92
26 91.056218 79.224649 26.7097 0.634358 0.2 0.95
27 91.056218 79.224649 26.7097 0.637653 0.22 0.98
28 91.056218 79.224649 26.7097 0.658778 0.24 1.01
29 91.056218 79.224649 26.7097 0.774206 0.26 1.04
30 91.056218 79.224649 26.7097 0.851729 0.28 1.07
31 91.056218 79.224649 26.7097 0.86193 0.31 1.12
32 91.056218 79.224649 26.7097 0.953123 0.34 1.17
33 91.056218 79.224649 26.7097 1.027655 0.37 1.22
34 91.056218 79.224649 26.7097 1.182813 0.4 1.27
35 91.056218 79.224649 26.7097 1.245697 0.43 1.32
36 91.056218 79.224649 26.7097 1.23935 0.46 1.37
37 91.056218 79.224649 26.7097 1.383091 0.49 1.42
38 91.056218 79.224649 26.7097 1.460155 0.52 1.47
39 91.056218 79.224649 26.7097 1.379804 0.55 1.52
40 91.056218 79.224649 26.7097 1.519815 0.58 1.57
41 91.056218 79.224649 26.7097 0.05 0.1 0.8
42 91.056218 79.224649 26.7097 0.081683 0.12 0.83
43 91.056218 79.224649 26.7097 0.108506 0.14 0.86
44 91.143229 80.78135 22.477732 0.103562 0.1 0.8
45 91.143229 80.78135 22.477732 0.131523 0.12 0.83
46 91.143229 80.78135 22.477732 0.162155 0.14 0.86
47 91.143229 80.78135 22.477732 0.198953 0.16 0.89
48 91.143229 80.78135 22.477732 0.242473 0.18 0.92
49 91.143229 80.78135 22.477732 0.250393 0.2 0.95
50 93.636796 82.6121 20.961761 0.223262 0.1 0.8
51 93.636796 82.6121 20.961761 0.232696 0.12 0.83
52 93.636796 82.6121 20.961761 0.254003 0.14 0.86
53 93.636796 82.6121 20.961761 0.332659 0.16 0.89
54 93.636796 82.6121 20.961761 0.359061 0.18 0.92
55 93.636796 82.6121 20.961761 0.431395 0.2 0.95
