

gen best mean std sigma_prime mutation_r crossover_r
0 86.976168 4.419139 21.994741 0.05 0.1 0.8
0 87.328354 60.905283 29.495077 0.046277 0.1 0.8
1 89.006695 66.499685 27.982867 0.047796 0.1 0.8
2 89.056695 69.317776 28.006894 0.044679 0.1 0.8
3 89.056695 69.317776 28.006894 0.072306 0.12 0.83
4 89.306695 75.236745 22.846854 0.076612 0.1 0.8
5 89.492892 78.513698 17.351301 0.070658 0.1 0.8
6 89.492892 78.513698 17.351301 0.10008 0.12 0.83
7 89.492892 78.513698 17.351301 0.129227 0.14 0.86
8 89.546695 84.076702 10.553234 0.134529 0.1 0.8
9 89.546695 84.076702 10.553234 0.168055 0.12 0.83
10 91.468142 85.060998 11.879317 0.171382 0.1 0.8
11 91.468142 85.060998 11.879317 0.216706 0.12 0.83
12 91.468142 85.060998 11.879317 0.248649 0.14 0.86
13 91.468142 85.060998 11.879317 0.291778 0.16 0.89
14 91.468142 85.060998 11.879317 0.29408 0.18 0.92
15 91.468142 85.060998 11.879317 0.35356 0.2 0.95
16 91.468142 85.060998 11.879317 0.412835 0.22 0.98
17 91.468142 85.060998 11.879317 0.455772 0.24 1.01
18 91.468142 85.060998 11.879317 0.48411 0.26 1.04
19 91.468142 85.060998 11.879317 0.499139 0.28 1.07
20 91.468142 85.060998 11.879317 0.57822 0.31 1.12
21 91.468142 85.060998 11.879317 0.612089 0.34 1.17
22 91.468142 85.060998 11.879317 0.679857 0.37 1.22
23 91.468142 85.060998 11.879317 0.732181 0.4 1.27
24 91.468142 85.060998 11.879317 0.831309 0.43 1.32
25 91.468142 85.060998 11.879317 0.837349 0.46 1.37
26 91.468142 85.060998 11.879317 0.946773 0.49 1.42
27 91.468142 85.060998 11.879317 1.074063 0.52 1.47
28 91.468142 85.060998 11.879317 1.12734 0.55 1.52
29 91.468142 85.060998 11.879317 1.147551 0.58 1.57
30 91.468142 85.060998 11.879317 0.05 0.1 0.8
31 91.468142 85.060998 11.879317 0.076495 0.12 0.83
32 91.468142 85.060998 11.879317 0.103483 0.14 0.86
33 91.468142 85.060998 11.879317 0.135124 0.16 0.89
34 91.468142 85.060998 11.879317 0.174351 0.18 0.92
35 91.468142 85.060998 11.879317 0.200073 0.2 0.95
36 91.468142 85.060998 11.879317 0.233202 0.22 0.98
37 91.468142 85.060998 11.879317 0.270618 0.24 1.01
38 91.468142 85.060998 11.879317 0.312606 0.26 1.04
39 91.468142 85.060998 11.879317 0.33736 0.28 1.07
40 91.468142 85.060998 11.879317 0.396581 0.31 1.12
41 91.468142 85.060998 11.879317 0.442744 0.34 1.17
42 91.468142 85.060998 11.879317 0.475574 0.37 1.22
43 91.468142 85.060998 11.879317 0.54437 0.4 1.27
44 91.468142 85.060998 11.879317 0.65168 0.43 1.32
45 91.468142 85.060998 11.879317 0.845642 0.46 1.37
46 91.468142 85.060998 11.879317 0.822801 0.49 1.42
47 91.468142 85.060998 11.879317 0.945339 0.52 1.47
48 91.468142 85.060998 11.879317 0.908737 0.55 1.52
49 91.468142 85.060998 11.879317 0.939085 0.58 1.57
50 91.468142 85.060998 11.879317 0.05 0.1 0.8
51 91.468142 85.060998 11.879317 0.080487 0.12 0.83
52 91.468142 85.060998 11.879317 0.114553 0.14 0.86
53 91.468142 85.060998 11.879317 0.141407 0.16 0.89
54 91.468142 85.060998 11.879317 0.159695 0.18 0.92
55 91.468142 85.060998 11.879317 0.201056 0.2 0.95
56 91.468142 85.060998 11.879317 0.234837 0.22 0.98
57 91.468142 85.060998 11.879317 0.261304 0.24 1.01
58 91.468142 85.060998 11.879317 0.306126 0.26 1.04
59 91.468142 85.060998 11.879317 0.372057 0.28 1.07
60 91.468142 85.060998 11.879317 0.482912 0.31 1.12
61 91.468142 85.060998 11.879317 0.560667 0.34 1.17
62 91.468142 85.060998 11.879317 0.661115 0.37 1.22
63 91.468142 85.060998 11.879317 0.726453 0.4 1.27
64 91.468142 85.060998 11.879317 0.802693 0.43 1.32
65 91.468142 85.060998 11.879317 0.931546 0.46 1.37
66 91.468142 85.060998 11.879317 1.012068 0.49 1.42
67 91.468142 85.060998 11.879317 1.116854 0.52 1.47
68 91.468142 85.060998 11.879317 1.23153 0.55 1.52
69 91.468142 85.060998 11.879317 1.256857 0.58 1.57
70 91.468142 85.060998 11.879317 0.05 0.1 0.8
71 91.468142 85.060998 11.879317 0.075324 0.12 0.83
72 91.468142 85.060998 11.879317 0.09914 0.14 0.86
73 91.468142 85.060998 11.879317 0.127592 0.16 0.89
74 91.468142 85.060998 11.879317 0.168485 0.18 0.92
75 91.468142 85.060998 11.879317 0.197279 0.2 0.95
76 91.468142 85.060998 11.879317 0.237236 0.22 0.98
77 91.468142 85.060998 11.879317 0.250694 0.24 1.01
78 91.468142 85.060998 11.879317 0.280787 0.26 1.04
79 91.468142 85.060998 11.879317 0.317288 0.28 1.07
80 91.468142 85.060998 11.879317 0.375024 0.31 1.12
81 91.468142 85.060998 11.879317 0.459749 0.34 1.17
82 91.468142 85.060998 11.879317 0.54314 0.37 1.22
83 91.468142 85.060998 11.879317 0.568741 0.4 1.27
84 91.468142 85.060998 11.879317 0.686726 0.43 1.32
85 91.468142 85.060998 11.879317 0.711138 0.46 1.37
86 91.468142 85.060998 11.879317 0.828741 0.49 1.42
87 91.468142 85.060998 11.879317 0.826173 0.52 1.47
88 91.468142 85.060998 11.879317 0.91016 0.55 1.52
89 91.468142 85.060998 11.879317 1.019583 0.58 1.57
90 91.468142 85.060998 11.879317 0.05 0.1 0.8
91 91.468142 85.060998 11.879317 0.076717 0.12 0.83
92 91.468142 85.060998 11.879317 0.101755 0.14 0.86
93 91.468142 85.060998 11.879317 0.125262 0.16 0.89
94 91.468142 85.060998 11.879317 0.158852 0.18 0.92
95 91.468142 85.060998 11.879317 0.194733 0.2 0.95
96 91.468142 85.060998 11.879317 0.213463 0.22 0.98
97 91.468142 85.060998 11.879317 0.243301 0.24 1.01
98 91.468142 85.060998 11.879317 0.278072 0.26 1.04
99 91.468142 85.060998 11.879317 0.321202 0.28 1.07
