

gen best mean std sigma_prime mutation_r crossover_r
0 74.76363 2.578363 16.939247 0.05 0.1 0.8
0 85.3894 41.691806 26.393896 0.050283 0.1 0.8
1 85.3894 41.691806 26.393896 0.076498 0.12 0.83
2 85.3894 41.691806 26.393896 0.106798 0.14 0.86
3 85.577424 42.644649 28.389762 0.112655 0.1 0.8
4 86.197464 50.584945 29.574461 0.109347 0.1 0.8
5 88.818586 54.715841 22.97892 0.106057 0.1 0.8
6 88.818586 54.715841 22.97892 0.139234 0.12 0.83
7 88.818586 54.715841 22.97892 0.168772 0.14 0.86
8 88.818586 54.715841 22.97892 0.200256 0.16 0.89
9 88.818586 54.715841 22.97892 0.236866 0.18 0.92
10 88.818586 54.715841 22.97892 0.242402 0.2 0.95
11 88.818586 54.715841 22.97892 0.252703 0.22 0.98
12 88.818586 54.715841 22.97892 0.301046 0.24 1.01
13 88.818586 54.715841 22.97892 0.347689 0.26 1.04
14 88.818586 54.715841 22.97892 0.405678 0.28 1.07
15 88.818586 54.715841 22.97892 0.436324 0.31 1.12
16 88.818586 54.715841 22.97892 0.553797 0.34 1.17
17 88.818586 54.715841 22.97892 0.551981 0.37 1.22
18 88.818586 54.715841 22.97892 0.637503 0.4 1.27
19 88.818586 54.715841 22.97892 0.687389 0.43 1.32
20 88.818586 54.715841 22.97892 0.676465 0.46 1.37
21 88.818586 54.715841 22.97892 0.786214 0.49 1.42
22 88.818586 54.715841 22.97892 0.875987 0.52 1.47
23 90.821114 59.135165 31.643345 0.753604 0.1 0.8
24 90.821114 59.135165 31.643345 0.743075 0.12 0.83
25 90.821114 59.135165 31.643345 0.759408 0.14 0.86
26 90.821114 59.135165 31.643345 0.751671 0.16 0.89
27 90.821114 59.135165 31.643345 0.742994 0.18 0.92
28 90.821114 59.135165 31.643345 0.747322 0.2 0.95
29 90.821114 59.135165 31.643345 0.712133 0.22 0.98
30 90.821114 59.135165 31.643345 0.697992 0.24 1.01
31 90.821114 59.135165 31.643345 0.748439 0.26 1.04
32 90.821114 59.135165 31.643345 0.710089 0.28 1.07
33 90.821114 59.135165 31.643345 0.710919 0.31 1.12
34 90.821114 59.135165 31.643345 0.802268 0.34 1.17
35 90.821114 59.135165 31.643345 0.901615 0.37 1.22
36 91.529262 51.937034 29.935315 0.921302 0.1 0.8
37 91.529262 51.937034 29.935315 0.974811 0.12 0.83
38 91.529262 51.937034 29.935315 1.023263 0.14 0.86
39 91.529262 51.937034 29.935315 1.106309 0.16 0.89
40 91.529262 51.937034 29.935315 1.148994 0.18 0.92
41 91.529262 51.937034 29.935315 1.110476 0.2 0.95
42 91.529262 51.937034 29.935315 1.08421 0.22 0.98
43 91.529262 51.937034 29.935315 1.057079 0.24 1.01
44 91.529262 51.937034 29.935315 1.193039 0.26 1.04
45 91.529262 51.937034 29.935315 1.321985 0.28 1.07
46 91.529262 51.937034 29.935315 1.295034 0.31 1.12
47 91.529262 51.937034 29.935315 1.339913 0.34 1.17
48 91.529262 51.937034 29.935315 1.263095 0.37 1.22
49 91.529262 51.937034 29.935315 1.304028 0.4 1.27
50 91.529262 51.937034 29.935315 1.414666 0.43 1.32
51 91.529262 51.937034 29.935315 1.429655 0.46 1.37
52 91.529262 51.937034 29.935315 1.452669 0.49 1.42
53 91.529262 51.937034 29.935315 1.574379 0.52 1.47
54 91.529262 51.937034 29.935315 1.615663 0.55 1.52
55 91.529262 51.937034 29.935315 1.842038 0.58 1.57
56 91.529262 51.937034 29.935315 0.05 0.1 0.8
57 91.529262 51.937034 29.935315 0.084688 0.12 0.83
58 91.529262 51.937034 29.935315 0.120466 0.14 0.86
59 91.529262 51.937034 29.935315 0.159528 0.16 0.89
60 91.529262 51.937034 29.935315 0.186514 0.18 0.92
61 91.529262 51.937034 29.935315 0.201291 0.2 0.95
62 91.529262 51.937034 29.935315 0.225911 0.22 0.98
63 91.529262 51.937034 29.935315 0.262279 0.24 1.01
64 91.529262 51.937034 29.935315 0.284475 0.26 1.04
65 91.529262 51.937034 29.935315 0.299175 0.28 1.07
66 91.529262 51.937034 29.935315 0.376259 0.31 1.12
67 91.529262 51.937034 29.935315 0.417677 0.34 1.17
68 91.529262 51.937034 29.935315 0.488391 0.37 1.22
69 91.529262 51.937034 29.935315 0.572753 0.4 1.27
70 91.529262 51.937034 29.935315 0.624277 0.43 1.32
71 91.529262 51.937034 29.935315 0.635675 0.46 1.37
72 91.529262 51.937034 29.935315 0.709688 0.49 1.42
73 91.529262 51.937034 29.935315 0.753397 0.52 1.47
74 91.529262 51.937034 29.935315 0.826166 0.55 1.52
75 91.529262 51.937034 29.935315 0.969966 0.58 1.57
76 91.529262 51.937034 29.935315 0.05 0.1 0.8
77 91.529262 51.937034 29.935315 0.081267 0.12 0.83
78 91.529262 51.937034 29.935315 0.110228 0.14 0.86
79 91.529262 51.937034 29.935315 0.136256 0.16 0.89
80 91.529262 51.937034 29.935315 0.174977 0.18 0.92
81 91.529262 51.937034 29.935315 0.218384 0.2 0.95
82 91.529262 51.937034 29.935315 0.255055 0.22 0.98
83 91.529262 51.937034 29.935315 0.293241 0.24 1.01
84 91.529262 51.937034 29.935315 0.336024 0.26 1.04
85 91.529262 51.937034 29.935315 0.383588 0.28 1.07
86 91.529262 51.937034 29.935315 0.419023 0.31 1.12
87 91.529262 51.937034 29.935315 0.447169 0.34 1.17
88 91.529262 51.937034 29.935315 0.523582 0.37 1.22
